資料公開日,タイトル ,リンク,公開者,公開者プロフィールリンク,公開者の(公開時点の)所属,何のイベントで公開されたか
2019/7/13,What we need for?MLOps,https://speakerdeck.com/keigohtr/what-we-need-for-mlops,服部圭悟(Keigo Hattori),https://twitter.com/keigohtr,ABEJA,CCSE 2019
2019/7/13,JapanTaxiにおけるML Ops ?機械学習の開発運用プロセス?,https://www.slideshare.net/tetsutarowatanabe/japantaximl-ops,渡部徹太郎(Tetsutaro Watanabe),https://twitter.com/fetarodc,JapanTaxi,CCSE 2019
2019/7/13,メルカリの写真検索を支えるバックエンド CCSE 2019 version,https://speakerdeck.com/hnakagawa/merukarifalsexie-zhen-jian-suo-wozhi-erubatukuendo-ccse-2019-version,中河 宏文(Hirofumi Nakagawa),https://twitter.com/hnakagawa14,メルカリ,CCSE 2019
2019/6/29,開発者向けの基盤をつくる,https://speakerdeck.com/tcnksm/kai-fa-zhe-xiang-kefalseji-pan-wotukuru,Taichi Nakashima,https://twitter.com/deeeet,メルカリ,ハッカーズチャンプルー2019
2019/6/27,自由と統制のバランス　分析基盤のアプローチ,https://speakerdeck.com/ryoji_hasegawa/zi-you-totong-zhi-falsebaransu-fen-xi-ji-pan-falseapuroti,Ryoji Hasegawa,,DeNA,DPCT#3
2019/6/26,機械学習をサービスに導入するノウハウ - Yahoo! JAPAN Tech Blog,https://techblog.yahoo.co.jp/entry/20190626686917/,山本康生,,Yahoo! JAPAN,
2019/6/24,クックパッドにおける推薦（と検索）の取り組み,https://speakerdeck.com/chie8842/kutukupatudoniokerutui-jian-tojian-suo-falsequ-rizu-mi,林田千瑛,https://twitter.com/chie8842,クックパッド,MLPP#3
2019/6/5,データ分析基盤Crois,https://www.rco.recruit.co.jp/career/engineer/blog/mlct_10_crois/,宮井康宏,https://twitter.com/mia_0032,リクルートコミュニケーションズ,MLCT#10
2019/5/30,つらくないAirflowにむけて,https://speakerdeck.com/line_developers/toward-airflow-without-pain,Kenji Yamauchi,,LINE,MLPP#2
2019/5/30,機械学習関連の開発を効率化した話,https://speakerdeck.com/nishiba/ji-jie-xue-xi-guan-lian-falsekai-fa-wo-xiao-lu-hua-sitahua,西場正浩,https://twitter.com/m_nishiba,エムスリー,MLPP#2
2019/5/16,MLOps Yearning ~ 実運用システムを構築する前にデータサイエンティストが考えておきたいこと,https://www.slideshare.net/rakutentech/mlops-yearning,三浦航,,楽天株式会社,白金鉱業#7
2019/5/13,研究開始から運用までの機械学習モデル開発,https://www.slideshare.net/FujimotoKeisuke/mlloft-145253865,Keisuke Fujimoto,https://twitter.com/peisuke,ABEJA,ML@Loft
2019/5/10,Kubernetesによる機械学習基盤、楽天での活用事例 覃子麟 (チンツーリン) /楽天株式会社,https://www.slideshare.net/rakutentech/kubernetes-144707493,覃子麟,,楽天株式会社,
2019/5/3,機械学習モデル精度の比較・管理について(How to evaluate & manage machine learning model),https://www.slideshare.net/shunyaueta/how-to-evaluate-manage-machine-learning-model-daft,上田隼也(Shunya Ueta),https://twitter.com/hurutoriya,メルカリ,DAFT#2
2019/4/27,ML Opsのススメ,https://www.slideshare.net/nakapa/ml-ops,中林 紀彦,https://www.slideshare.net/nakapa,SOMPOホールディングス,Machine Learning 15minutes!#35
